node_id,label,feat
kmeasure-3c4ff0c8-d403-11ec-99f6-00155d8545fd,10025,"0.00502998646527911, 1.0"
kmeasure-3c4fc835-d403-11ec-9b98-00155d8545fd,10013,"0, 1.0"
kmeasure-3c4a2eab-d403-11ec-9d08-00155d8545fd,10027,"0.000841931618407011, 1.0"
kmeasure-3c4b2220-d403-11ec-83aa-00155d8545fd,10026,"0, 1.0"
kmeasure-3c505454-d403-11ec-a679-00155d8545fd,10021,"0.00327699233833746, 1.0"
kmeasure-3c4e76cd-d403-11ec-afd3-00155d8545fd,10002,"0, 1.0"
kmeasure-3c4a4a91-d403-11ec-8d7f-00155d8545fd,10011,"0.0780112282753964, 1.0"
kmeasure-3c4f1af9-d403-11ec-bc88-00155d8545fd,10018,"0.0564999513861019, 1.0"
kmeasure-3c4a7482-d403-11ec-9d94-00155d8545fd,10023,"0.0101000806454643, 1.0"
kmeasure-3c49eb32-d403-11ec-9f5b-00155d8545fd,10022,"0.00025350079868569, 1.0"
kmeasure-3c4d0101-d403-11ec-8e28-00155d8545fd,10007,"0.0361814906004311, 1.0"
kmeasure-3c50220d-d403-11ec-8121-00155d8545fd,10017,"0, 1.0"
kmeasure-3c5052e3-d403-11ec-ab5f-00155d8545fd,10021,"0.0199038640112132, 1.0"
kmeasure-3c4e2a2d-d403-11ec-867c-00155d8545fd,10019,"0.00412461783626403, 1.0"
kmeasure-3c4d04cc-d403-11ec-9e03-00155d8545fd,10007,"0.0309276894225959, 1.0"
kmeasure-3c5059b0-d403-11ec-abb9-00155d8545fd,10021,"0.0100459328587219, 1.0"
kmeasure-3c4e9e89-d403-11ec-980e-00155d8545fd,10008,"0.0191274549328168, 1.0"
kmeasure-3c4d3ccf-d403-11ec-b610-00155d8545fd,10030,"0.015051881655482, 1.0"
kmeasure-3c4c5473-d403-11ec-bead-00155d8545fd,10014,"0.0679883974887539, 1.0"
kmeasure-3c4bf3f7-d403-11ec-b865-00155d8545fd,10006,"0.000235874468633992, 1.0"
kmeasure-3c50dc78-d403-11ec-99e6-00155d8545fd,10012,"0.238563142144093, 1.0"
kmeasure-3c4f8018-d403-11ec-886f-00155d8545fd,10020,"0, 1.0"
